iteration;avg_executed;avg_worst;avg_average;avg_best
0;64.75686659291274;64.75686659291274;64.75686659291274;64.75686659291274
1;64.84180132563583;64.78366379257605;64.81273255910591;64.84180132563583
2;64.89143519950841;64.81165097216301;64.8538108966959;64.89199659582492
3;64.94635309581098;64.83660060721047;64.8953234518048;64.94691451976993
4;64.98358693977852;64.85666178537318;64.92565191373903;64.98376557505517
5;65.00593897973506;64.86984481213798;64.94610782801256;65.01006503556525
6;65.03313721370051;64.88314564317827;64.9646559908102;65.03313721370051
7;65.04635210303229;64.89177400633979;64.97694998961228;65.04642865676365
8;65.06516005152437;64.89351110119436;64.9887093067484;65.06556834342524
9;65.08665205861092;64.91171106319132;65.01141220000925;65.08908882818146
10;65.08951475975822;64.91288539835537;65.01540041691135;65.09214313294707
