iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;08:26:40;08:26:40;08:26:40;;;08:26:40;08:26:40;08:26:40;08:26:40;08:26:40;08:26:40;08:26:40;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;;;08:26:41;08:26:41;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
1;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:41;08:26:42;08:26:42;08:26:42;08:26:42;08:26:42;08:26:42;;;08:26:42;08:26:42;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
2;08:26:42;08:26:42;08:26:42;08:26:42;08:26:42;08:26:42;;;08:26:42;08:26:42;08:26:42;08:26:42;08:26:43;08:26:43;08:26:43;08:26:43;08:26:43;08:26:43;;;08:26:43;08:26:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
3;08:26:43;08:26:43;08:26:43;08:26:43;08:26:43;08:26:43;;;08:26:43;08:26:43;08:26:43;08:26:43;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;;;08:26:44;08:26:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
4;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;;;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;08:26:44;;;08:26:45;08:26:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
5;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;;;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;;;08:26:45;08:26:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
6;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;08:26:45;;;08:26:45;08:26:45;08:26:45;08:26:45;08:26:46;08:26:46;08:26:46;08:26:46;08:26:46;08:26:46;;;08:26:46;08:26:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
7;08:26:46;08:26:46;08:26:46;08:26:46;08:26:46;08:26:46;;;08:26:46;08:26:46;08:26:46;08:26:46;08:26:47;08:26:47;08:26:47;08:26:47;08:26:47;08:26:47;;;08:26:47;08:26:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
8;08:26:47;08:26:47;08:26:47;08:26:47;08:26:47;08:26:47;;;08:26:47;08:26:47;08:26:47;08:26:47;08:26:48;08:26:48;08:26:48;08:26:48;08:26:48;08:26:48;;;08:26:48;08:26:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
9;08:26:48;08:26:48;08:26:48;08:26:48;08:26:48;08:26:48;;;08:26:48;08:26:48;08:26:48;08:26:48;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;;;08:26:49;08:26:49;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
10;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;;;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:49;08:26:50;08:26:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
